,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
2529159,2529159,GB,2020-01-07,C7,0.0,,,OxCGRT
2529160,2529160,GB,2020-01-07,C8,0.0,,,OxCGRT
2529161,2529161,GB,2020-01-07,Cases,,,,OxCGRT
2529162,2529162,GB,2020-01-07,Deaths,,,,OxCGRT
2529163,2529163,GB,2020-01-07,E1,0.0,,,OxCGRT
2529164,2529164,GB,2020-01-07,E2,0.0,,,OxCGRT
2529165,2529165,GB,2020-01-07,E3,0.0,,,OxCGRT
2529166,2529166,GB,2020-01-07,E4,0.0,,,OxCGRT
2529167,2529167,GB,2020-01-07,H1,0.0,,,OxCGRT
2529168,2529168,GB,2020-01-07,H2,0.0,,,OxCGRT
2529169,2529169,GB,2020-01-07,H3,0.0,,,OxCGRT
2529170,2529170,GB,2020-01-07,H4,0.0,,,OxCGRT
2529171,2529171,GB,2020-01-07,H5,0.0,,,OxCGRT
2529172,2529172,GB,2020-01-07,H6,0.0,,,OxCGRT
2529173,2529173,GB,2020-01-07,H7,0.0,,,OxCGRT
2529174,2529174,GB,2020-01-07,H8,0.0,,,OxCGRT
2529175,2529175,GB,2020-01-07,I1,0.0,,,OxCGRT
2529176,2529176,GB,2020-01-07,I1D,0.0,,,OxCGRT
2529177,2529177,GB,2020-01-07,I2,0.0,,,OxCGRT
2529178,2529178,GB,2020-01-07,I2D,0.0,,,OxCGRT
2529179,2529179,GB,2020-01-07,I3,0.0,,,OxCGRT
2529180,2529180,GB,2020-01-07,I3D,0.0,,,OxCGRT
2529181,2529181,GB,2020-01-07,I4,0.0,,,OxCGRT
2529182,2529182,GB,2020-01-07,I4D,0.0,,,OxCGRT
2529183,2529183,GB,2020-01-07,I4L,0.0,,,OxCGRT
2529184,2529184,GB,2020-01-07,I4LD,0.0,,,OxCGRT
2529185,2529185,GB,2020-01-07,M1,,,,OxCGRT
2529186,2529186,GB,2020-01-08,C1,0.0,,,OxCGRT
2529187,2529187,GB,2020-01-08,C2,0.0,,,OxCGRT
2529188,2529188,GB,2020-01-08,C3,0.0,,,OxCGRT
2529189,2529189,GB,2020-01-08,C4,0.0,,,OxCGRT
2529190,2529190,GB,2020-01-08,C5,0.0,,,OxCGRT
2529191,2529191,GB,2020-01-08,C6,0.0,,,OxCGRT
2529192,2529192,GB,2020-01-08,C7,0.0,,,OxCGRT
2529193,2529193,GB,2020-01-08,C8,0.0,,,OxCGRT
2529194,2529194,GB,2020-01-08,Cases,,,,OxCGRT
2529195,2529195,GB,2020-01-08,Deaths,,,,OxCGRT
2529196,2529196,GB,2020-01-08,E1,0.0,,,OxCGRT
2529197,2529197,GB,2020-01-08,E2,0.0,,,OxCGRT
2529198,2529198,GB,2020-01-08,E3,0.0,,,OxCGRT
2529199,2529199,GB,2020-01-08,E4,0.0,,,OxCGRT
2529200,2529200,GB,2020-01-08,H1,0.0,,,OxCGRT
2529201,2529201,GB,2020-01-08,H2,0.0,,,OxCGRT
2529202,2529202,GB,2020-01-08,H3,0.0,,,OxCGRT
2529203,2529203,GB,2020-01-08,H4,0.0,,,OxCGRT
2529204,2529204,GB,2020-01-08,H5,0.0,,,OxCGRT
2529205,2529205,GB,2020-01-08,H6,0.0,,,OxCGRT
2529206,2529206,GB,2020-01-08,H7,0.0,,,OxCGRT
2529207,2529207,GB,2020-01-08,H8,0.0,,,OxCGRT
2529208,2529208,GB,2020-01-08,I1,0.0,,,OxCGRT
2529209,2529209,GB,2020-01-08,I1D,0.0,,,OxCGRT
2529210,2529210,GB,2020-01-08,I2,0.0,,,OxCGRT
2529211,2529211,GB,2020-01-08,I2D,0.0,,,OxCGRT
2529212,2529212,GB,2020-01-08,I3,0.0,,,OxCGRT
2529213,2529213,GB,2020-01-08,I3D,0.0,,,OxCGRT
2529214,2529214,GB,2020-01-08,I4,0.0,,,OxCGRT
2529215,2529215,GB,2020-01-08,I4D,0.0,,,OxCGRT
